k_res,PSD_periodogram,PSD_periodogram_hamm,PSD_mt,k_we,PSD_welch
34,0.014183933250801260466701105532327797931202439940535,0.01388292343125062135781488601389761139991134018302,0.012088569276678109937072626816434836197596983505978,34,0.011912315305199233789705582458304021191981320779565
35,0.010780369201554009177361560562098674598274783420493,0.011990266202230534392376883271639474821864206539294,0.012276708452825693948109924681136207696192335398726,35,0.011973360291951597225352322512968287970538762335423
36,0.011376477776535355776626697561575672634770484137334,0.011447689584047456037932909092812921206319709943548,0.0125662562672509035787155066552218158586790812998,36,0.012559479037717264557381687604962479760205452911443
37,0.012304372018751560926347527781532509294493138440885,0.012776063476328315985608846362025590998871756925311,0.012843396537470222779490147628724876018223101579809,37,0.012241542223611978118402483109728756028774770162986
38,0.013291154177874285443673220159094272574407114007045,0.014626823218673029270219374443353301110981511770787,0.012653999126499308929762333089192752729904408884717,38,0.012576246846157238065532810952155518815171395723
39,0.013327608062462876268109015316307153220520831382601,0.014251160878573461021752356581527134637610497369535,0.01296030495004320921079905858976089039202861386002,39,0.012259596357822217205013598117687965440177742408157
40,0.01237808396875649965860925786297324496798566428879,0.013699997004511103646230944998648701641257638957114,0.013210732115739674413442882188444990287725021106878,40,0.01289558670557908852350676038517704044296935225732
41,0.01305781678789240940802957556543528738757231622003,0.012685002519828022287462490905274604922156803004481,0.013352052829113622288455602151658667210907895293661,41,0.012719616466683948378686055802926051179474069933685
42,0.013766355596740585102974777607920398025953545584343,0.01197438938481455816697915225013922029271364071809,0.013574321921238873232337503632134337713413937568216,42,0.012951091394207305097925289248556346511738071789411
43,0.015609479475991265528132488085103629638084044017887,0.012535464792817304616399455702833237265952464397424,0.013372965723643594283483251213925428548177722275016,43,0.013161706666746583709223766098372938317967421380371
44,0.013864973779253836683089044605476924942877303692512,0.011542965019780202287057374111331336833139573548203,0.012962108413502249429442759425563329906643567872899,44,0.012613242677926450122388622231095149135980902488647
45,0.011449132572499330917818915933758389114061060354288,0.012372525351229020254436778647861505196669362331973,0.01303037755738616941078175653654830566465148779441,45,0.012123220960733898032762164763498508687355743043662
46,0.01368999186634818584591246682681531243730432834127,0.013837718491137846448062109764048682579904220915544,0.01268641514555926640615148881454769863189443615933,46,0.012288887426587607853623022987595091756111274248707
47,0.011101098637050346602933841716476237593269615899771,0.01014364832496492361550955211109094339694107029292,0.012257331884453882488644759131119633211289990778628,47,0.011629234279134846117082791860393909995736219795097
48,0.011549514367438558600557649909575108626569317493704,0.011560891275266182630425130969261323746987001506806,0.012001853902136440359858415790602189801968994028617,48,0.01205800798907670297461245440852541962090844407537
49,0.012001883902837504085703117240324644399152020923793,0.012214512119078256962241045527120821218476684823973,0.012215841834606209576180005448372467172620961913968,49,0.012671498622544080690246301857220982774478481642379
50,0.012355602605828247368288609533276689589342822728213,0.01216339693113284204693390132511749914985201625463,0.011672166952588549127490459488885034068848613385074,50,0.012914963664335795940375719837188966844900197434646
