sigma,bin_center,count
3.5,0.14448130457541409,38
3.5,0.14970666521080308,43
3.5,0.15493202584619206,36
3.5,0.16015738648158104,25
3.5,0.16538274711697003,25
3.5,0.17060810775235901,15
3.5,0.175833468387748,12
3.5,0.18105882902313698,10
3.5,0.18628418965852596,9
3.5,0.19150955029391495,4
3.5,0.19673491092930393,6
3.5,0.20196027156469291,3
3.5,0.2071856322000819,1
3.5,0.21241099283547088,0
3.5,0.21763635347085987,2
3.5,0.22286171410624885,1
3.5,0.22808707474163783,0
3.5,0.23331243537702682,1
3.5,0.2385377960124158,0
3.5,0.24376315664780479,1
10,0.072302339790267589,6
10,0.091248370771662774,11
10,0.11019440175305796,14
10,0.12914043273445314,25
10,0.14808646371584833,44
10,0.16703249469724351,44
10,0.1859785256786387,55
10,0.20492455666003388,64
10,0.22387058764142907,80
10,0.24281661862282425,77
10,0.26176264960421943,62
10,0.28070868058561462,68
10,0.2996547115670098,72
10,0.31860074254840499,57
10,0.33754677352980017,58
10,0.35649280451119536,54
10,0.37543883549259054,37
10,0.39438486647398573,29
10,0.41333089745538091,26
10,0.4322769284367761,20
10,0.45122295941817128,12
10,0.47016899039956646,13
10,0.48911502138096165,9
10,0.50806105236235683,12
10,0.52700708334375202,15
10,0.5459531143251472,5
10,0.56489914530654239,10
10,0.58384517628793757,5
10,0.60279120726933276,0
10,0.62173723825072794,4
10,0.64068326923212312,2
10,0.65962930021351831,7
10,0.67857533119491349,1
10,0.69752136217630868,0
10,0.71646739315770386,1
10,0.73541342413909905,0
10,0.75435945512049423,0
10,0.77330548610188942,0
10,0.7922515170832846,0
10,0.81119754806467979,1
25,0.30318910450591937,3
25,0.38151742750282519,4
25,0.45984575049973101,11
25,0.53817407349663683,22
25,0.61650239649354266,22
25,0.69483071949044848,46
25,0.7731590424873543,41
25,0.85148736548426012,54
25,0.92981568848116595,54
25,1.0081440114780718,64
25,1.0864723344749776,52
25,1.1648006574718834,49
25,1.2431289804687892,77
25,1.3214573034656951,67
25,1.3997856264626009,57
25,1.4781139494595067,47
25,1.5564422724564125,42
25,1.6347705954533184,41
25,1.7130989184502242,37
25,1.79142724144713,31
25,1.8697555644440358,35
25,1.9480838874409416,28
25,2.0264122104378475,21
25,2.1047405334347533,14
25,2.1830688564316591,17
25,2.2613971794285649,12
25,2.3397255024254708,11
25,2.4180538254223766,14
25,2.4963821484192824,7
25,2.5747104714161882,4
25,2.653038794413094,4
25,2.7313671174099999,1
25,2.8096954404069057,0
25,2.8880237634038115,3
25,2.9663520864007173,1
25,3.0446804093976232,2
25,3.123008732394529,2
25,3.2013370553914348,0
25,3.2796653783883406,1
25,3.3579937013852465,2
50,1.2387700330761876,3
50,1.5106395322230762,4
50,1.7825090313699648,10
50,2.0543785305168534,18
50,2.326248029663742,27
50,2.5981175288106306,27
50,2.8699870279575192,54
50,3.1418565271044079,51
50,3.4137260262512965,54
50,3.6855955253981851,58
50,3.9574650245450737,49
50,4.2293345236919623,61
50,4.5012040228388509,51
50,4.7730735219857395,64
50,5.0449430211326281,39
50,5.3168125202795167,54
50,5.5886820194264053,47
50,5.8605515185732939,49
50,6.1324210177201825,37
50,6.4042905168670712,39
50,6.6761600160139598,36
50,6.9480295151608484,20
50,7.219899014307737,24
50,7.4917685134546256,28
50,7.7636380126015142,17
50,8.0355075117484028,12
50,8.3073770108952914,13
50,8.57924651004218,14
50,8.8511160091890686,10
50,9.1229855083359572,5
50,9.3948550074828458,5
50,9.6667245066297345,3
50,9.9385940057766231,4
50,10.210463504923512,5
50,10.4823330040704,2
50,10.754202503217289,1
50,11.026072002364177,3
50,11.297941501511066,0
50,11.569811000657955,1
50,11.841680499804843,1
