k_res,PSD_periodogram,PSD_periodogram_hamm,PSD_mt,k_we,PSD_welch
57,0.0121514221236037,0.0132164108242218,0.0123574697843307,57,0.0120039125883366
58,0.0128362806740701,0.0135740510554365,0.0122377096407542,58,0.0129640805447838
59,0.0131257838596933,0.0134468347588422,0.0122716610941351,59,0.0121143594260092
60,0.0115459061907954,0.0123982678673904,0.0124954288827483,60,0.011765563910338
61,0.0118979771775615,0.0123283534798787,0.0127104907637071,61,0.0122896928519442
62,0.0127945587901143,0.0131050010897053,0.0127198441262609,62,0.0123463730077027
63,0.013497909907028,0.0136174896563394,0.0123241651344165,63,0.017080036262096
64,0.0132999142980221,0.0130711946539316,0.012281470691118,64,0.0366447404006622
65,0.0124787858164939,0.0132685380998022,0.0123596013210741,65,0.017198103728211
66,0.00993941580875225,0.0111440130265382,0.0125292951062565,66,0.0122084612473308
67,0.0123306546874258,0.0111956007873844,0.0122394342014445,67,0.0124933139914909
68,0.0118177623502158,0.0115029575303691,0.0123522294611911,68,0.0120635094901755
69,0.0129534214746352,0.0120687807627787,0.0120783280047059,69,0.011650823237901
70,0.0120675691012274,0.0116432638550036,0.0119354543178888,70,0.0117756934184321
71,0.0142178565716496,0.0130159990512635,0.0123732231957748,71,0.0115281292199588
72,0.0107325370227404,0.00941092547074658,0.012479494227693,72,0.0116198951601558
73,0.010993787125556,0.00946350785773647,0.0122662591755351,73,0.0125162824187414
74,0.0129531590284443,0.0113427766435224,0.0121941161393077,74,0.0120038989831849
75,0.0144421521402617,0.0122563694562429,0.0120308181475188,75,0.0120234278105555
76,0.0113265150520945,0.010679249499009,0.0121542644591002,76,0.0125764411913006
77,0.0113047458550483,0.0122176030914306,0.012501933845344,77,0.0126449438373507
78,0.0113816740143567,0.0118165660602877,0.012489721151818,78,0.0127643726153111
79,0.0138224594832329,0.012886757897442,0.0124039448854827,79,0.0120106000816694
80,0.0126049396291186,0.0134680513070236,0.0127771457216179,80,0.0125797938486456
81,0.0123700147751876,0.0133245502305297,0.0126177474994694,81,0.0127536181379931
82,0.0125304730332313,0.0134670265128186,0.0128833137050359,82,0.0121691224294118
83,0.0156859392977511,0.0135520699172975,0.0130207800146035,83,0.012093156761701
84,0.0111173513461614,0.0101431126904559,0.0129405466205073,84,0.012251134098485
85,0.0105821392602664,0.0108205790242093,0.0127425600457788,85,0.0120841493745614
86,0.0148033486687968,0.0144317142349484,0.0128540128897596,86,0.0119619811834697
87,0.0130213896457273,0.0131726532656536,0.0119702748538322,87,0.0119481820975161
88,0.0107570562169521,0.0111830040808639,0.0120839454368363,88,0.0130715869437596
89,0.0133836397870954,0.0138325250694973,0.0124150325013213,89,0.0129013722857207
90,0.010567291640019,0.012182108300937,0.0116871793169858,90,0.0121180016364286
91,0.0113890809641247,0.0110737700957674,0.0113112204244179,91,0.0124277592940234
92,0.0123204615712082,0.01231382138732,0.0113134074190659,92,0.0128763019532841
93,0.0100160989457539,0.0112354314427199,0.011321231055192,93,0.0127302544739127
94,0.0102367365620827,0.0102251779155477,0.011317200667696,94,0.0125575553408737
95,0.0106620606771626,0.0105175140725846,0.011386831054089,95,0.0125831742336559
96,0.0126645703903493,0.0125065133821637,0.0115255953043056,96,0.0124214466318978
97,0.0113640527695354,0.0108730513744216,0.0117156579417113,97,0.0131148300469272
98,0.0117575335800018,0.0124604298126461,0.0119950169581811,98,0.0131729287926371
99,0.0130186270331311,0.0144512823188219,0.0124893139479583,99,0.0124985549693925
100,0.0123836630648491,0.0134013119275203,0.0126687643329825,100,0.0122474794101612
101,0.0130964657778378,0.0128867204712854,0.0125351743325558,101,0.012124437836172
102,0.0134796930441896,0.0153702528525534,0.0126981337362539,102,0.0116183895388796
103,0.0135908386616844,0.0143847907081317,0.0123695031510832,103,0.0122137863137777
104,0.00998194689436629,0.0101955357331599,0.0124730977348146,104,0.0120229502463715
105,0.0113073485861761,0.0106968372063198,0.0123089808298181,105,0.012155812909902
106,0.0126748092447598,0.0110708125209684,0.0123310757121306,106,0.0125700809138051
107,0.0130946976272689,0.0121602293020883,0.0123316903310122,107,0.0122926164317094
108,0.0117900721412636,0.0121125163928053,0.0123672418307903,108,0.012453786737637
109,0.0122911247851284,0.0119467131037108,0.0127435483835579,109,0.0128236085595591
110,0.0130906422574397,0.0127044269748319,0.0126181101393273,110,0.0125811584547499
111,0.0117024970889209,0.0126685916054715,0.0130929038359524,111,0.0117127777670665
112,0.0142249071681766,0.0137619519783843,0.0131850741188828,112,0.0122875186931222
113,0.0124381948974869,0.0124662145928527,0.0130168433703221,113,0.0125612751903619
114,0.0137889100161136,0.0125401581400133,0.0128736986616485,114,0.0127962643042241
115,0.0142063124698296,0.0141207849970378,0.0126942237238673,115,0.0122626703650293
116,0.0115088198185361,0.0118097182780908,0.0125164764942253,116,0.0119719189206993
117,0.0101165689833063,0.0109834979672176,0.0128716255444929,117,0.0123577313658696
118,0.0108564412599638,0.011672727386575,0.0130895723797751,118,0.0128950558000915
119,0.012706011055049,0.0129284969381391,0.0224766721070538,119,0.0126398391780185
120,0.0151218732739755,0.014351032959353,0.0445031166326632,120,0.0133959577058847
121,0.0124189102196453,0.01202161411205,0.0461123841234519,121,0.0128119353138829
122,0.016375807500421,0.0649007756872977,0.0466013450574574,122,0.0122866617141855
123,0.252167008618747,0.19312736287656,0.0466435216379211,123,0.012143966530201
124,0.0158026196571665,0.0348360633248823,0.0463738057253841,124,0.0118837495721651
125,0.0150649557037465,0.0137081624504979,0.0461394289439926,125,0.0114414554694235
126,0.0116916417878122,0.0108196017883593,0.0449532111506569,126,0.0117331042644834
127,0.0124919592055641,0.0122870877478928,0.016480422698438,127,0.0121870694408025
128,0.0122177966211657,0.0122139290257253,0.0130369226326304,128,0.0121975898456608
129,0.0103848127176485,0.0111632196272095,0.0122752748564325,129,0.0121870694408025
130,0.0119031668773207,0.0123216650836564,0.0126800015146776,130,0.0117331042644834
131,0.0124432672404753,0.0130968441378061,0.0124121754595629,131,0.0114414554694235
132,0.0112433506399612,0.0127197030657364,0.012014980733362,132,0.0118837495721651
133,0.0151748844416379,0.0157295386130363,0.0122315444226027,133,0.012143966530201
134,0.0123528417735704,0.0134494247971609,0.0123193467173585,134,0.0122866617141855
135,0.0109039297078776,0.0116538026356332,0.0122359236016752,135,0.0128119353138829
136,0.0120679561870085,0.0122315265566147,0.0121069650205955,136,0.0133959577058847
137,0.0121110625280083,0.0117475160632383,0.0118282256389472,137,0.0126398391780185
138,0.012129578443017,0.0113944815838738,0.0119133903480414,138,0.0128950558000915
139,0.0109250412015507,0.0113493991000803,0.0121784150188357,139,0.0123577313658696
140,0.011653518455321,0.0117374174197786,0.0126696366341255,140,0.0119719189206993
141,0.0115152441157251,0.0112745581251252,0.0127951350643325,141,0.0122626703650293
