sigma,bin_center,count
0.5,0.084373392803352340675219133558856040035945453065985,5
0.5,0.085107785436257734866077648788001452872176811411517,4
0.5,0.085842178069163129056936164017146865708408169757049,8
0.5,0.086576570702068523247794679246292278544639528102581,8
0.5,0.087310963334973917438653194475437691380870886448112,21
0.5,0.088045355967879311629511709704583104217102244793644,18
0.5,0.088779748600784705820370224933728517053333603139176,36
0.5,0.089514141233690100011228740162873929889564961484708,31
0.5,0.09024853386659549420208725539201934272579631983024,59
0.5,0.090982926499500888392945770621164755562027678175772,51
0.5,0.091717319132406282583804285850310168398259036521304,58
0.5,0.092451711765311676774662801079455581234490394866836,67
0.5,0.093186104398217070965521316308600994070721753212367,63
0.5,0.093920497031122465156379831537746406906953111557899,78
0.5,0.094654889664027859347238346766891819743184469903431,63
0.5,0.095389282296933253538096861996037232579415828248963,69
0.5,0.096123674929838647728955377225182645415647186594495,55
0.5,0.096858067562744041919813892454328058251878544940027,59
0.5,0.097592460195649436110672407683473471088109903285559,50
0.5,0.09832685282855483030153092291261888392434126163109,45
0.5,0.099061245461460224492389438141764296760572619976622,39
0.5,0.099795638094365618683247953370909709596803978322154,26
0.5,0.10053003072727101287410646860005512243303533666769,20
0.5,0.10126442336017640706496498382920053526926669501322,12
0.5,0.10199881599308180125582349905834594810549805335875,15
0.5,0.10273320862598719544668201428749136094172941170428,11
0.5,0.10346760125889258963754052951663677377796077004981,8
0.5,0.10420199389179798382839904474578218661419212839535,3
0.5,0.10493638652470337801925755997492759945042348674088,4
0.5,0.10567077915760877221011607520407301228665484508641,1
0.5,0.10640517179051416640097459043321842512288620343194,0
0.5,0.10713956442341956059183310566236383795911756177747,1
0.5,0.107873957056324954782691620891509250795348920123,0
0.5,0.10860834968923034897355013612065466363158027846854,0
0.5,0.10934274232213574316440865134980007646781163681407,0
0.5,0.1100771349550411373552671665789454893040429951596,1
1,0.069739516548128530877458454741725591545487787730288,2
1,0.071186901448405041532322014426623839015913943197498,1
1,0.072634286348681552187185574111522086486340098664708,1
1,0.074081671248958062842049133796420333956766254131919,3
1,0.075529056149234573496912693481318581427192409599129,3
1,0.076976441049511084151776253166216828897618565066339,7
1,0.078423825949787594806639812851115076368044720533549,6
1,0.079871210850064105461503372536013323838470876000759,13
1,0.081318595750340616116366932220911571308897031467969,14
1,0.082765980650617126771230491905809818779323186935179,22
1,0.084213365550893637426094051590708066249749342402389,29
1,0.0856607504511701480809576112756063137201754978696,41
1,0.08710813535144665873582117096050456119060165333681,49
1,0.08855552025172316939068473064540280866102780880402,46
1,0.09000290515199968004554829033030105613145396427123,49
1,0.09145029005227619070041185001519930360188011973844,68
1,0.09289767495255270135527540970009755107230627520565,76
1,0.09434505985282921201013896938499579854273243067286,68
1,0.09579244475310572266500252906989404601315858614007,62
1,0.09723982965338223331986608875479229348358474160728,59
1,0.098687214553658743974729648439690540954010897074491,55
1,0.1001345994539352546295932081245887884244370525417,51
1,0.10158198435421176528445676780948703589486320800891,47
1,0.10302936925448827593932032749438528336528936347612,46
1,0.10447675415476478659418388717928353083571551894333,35
1,0.10592413905504129724904744686418177830614167441054,34
1,0.10737152395531780790391100654908002577656782987775,25
1,0.10881890885559431855877456623397827324699398534496,32
1,0.11026629375587082921363812591887652071742014081217,13
1,0.11171367865614733986850168560377476818784629627938,8
1,0.11316106355642385052336524528867301565827245174659,13
1,0.1146084484567003611782288049735712631286986072138,4
1,0.11605583335697687183309236465846951059912476268101,7
1,0.11750321825725338248795592434336775806955091814822,6
1,0.11895060315752989314281948402826600553997707361543,1
1,0.12039798805780640379768304371316425301040322908264,2
1,0.12184537295808291445254660339806250048082938454985,1
1,0.12329275785835942510741016308296074795125554001706,0
